revision	counts	date
20011004	0 0 1351 13 49 0 0 2056 530 123 788 0 77 0 0 0	2001-10-04
20020322	0 0 1372 13 49 0 0 2043 539 118 769 0 75 0 0 0	2002-03-22
20020905	0 0 1356 14 51 0 0 2157 506 117 731 0 74 0 0 0	2002-09-05
20030814	0 0 1227 0 11 0 0 2441 451 97 627 0 89 44 0 0	2003-08-14
20040915	0 0 1339 0 11 0 93 2426 445 0 564 0 79 46 0 0	2004-09-15
20050705	0 0 1426 0 11 0 89 2415 409 0 537 0 77 47 0 0	2005-07-05
20060103	0 0 1519 1 11 0 68 2375 381 0 532 0 77 47 0 0	2006-01-03
20060219	0 0 1590 0 11 0 60 2326 363 0 580 0 48 49 0 0	2006-02-19
20060517	0 0 1542 0 11 0 72 2419 377 0 469 0 77 47 0 0	2006-05-17
20060626	0 0 1550 0 11 0 79 2418 377 0 463 0 75 49 0 0	2006-06-26
20060701	0 0 1549 0 11 0 72 2415 377 0 468 0 75 47 0 0	2006-07-01
20060905	0 0 1556 0 11 0 58 2415 401 0 468 0 69 49 0 0	2006-09-05
20060922	0 0 1558 0 11 0 58 2407 401 0 474 0 69 49 0 0	2006-09-22
20061006	0 0 1556 0 11 0 58 2384 401 0 485 0 69 49 0 0	2006-10-06
20061023	0 0 1561 0 11 0 58 2389 399 0 490 0 69 49 0 0	2006-10-23
20061103	0 0 1567 0 11 0 58 2338 399 0 536 0 69 49 0 0	2006-11-03
20061120	0 0 1570 0 11 0 58 2335 399 0 536 0 69 49 0 0	2006-11-20
20061130	0 0 1572 0 11 0 58 2331 398 0 539 0 69 49 0 0	2006-11-30
20061218	0 0 1574 0 11 0 57 2342 377 0 549 0 68 49 0 0	2006-12-18
20070111	0 0 1576 0 11 0 58 2339 348 0 578 0 65 49 0 0	2007-01-11
20070130	0 0 1585 0 11 0 58 2334 347 0 589 0 65 49 0 0	2007-01-30
20070206	0 0 1584 0 11 0 58 2329 361 0 583 0 52 49 0 0	2007-02-06
20070226	0 0 1602 0 11 0 60 2314 363 0 580 0 48 49 0 0	2007-02-26
20070312	0 0 1610 0 11 0 60 2317 358 0 584 0 48 49 0 0	2007-03-12
20070327	0 0 1610 0 11 0 60 2312 358 0 589 0 48 49 0 0	2007-03-27
20070412	0 0 1613 0 11 0 62 2310 356 0 588 0 48 49 0 0	2007-04-12
20070423	0 0 1615 0 11 0 62 2309 355 0 589 0 48 49 0 0	2007-04-23
20070503	0 0 1620 0 11 0 62 2304 355 0 589 0 48 49 0 0	2007-05-03
20070531	0 0 1614 0 11 0 62 2296 356 0 591 0 48 49 0 0	2007-05-31
20070620	0 0 1620 0 11 0 62 2303 355 0 592 0 46 49 0 0	2007-06-20
20070705	0 0 1620 0 11 0 62 2302 356 0 592 0 46 49 0 0	2007-07-05
20070709	0 0 1620 0 11 0 62 2302 356 0 592 0 46 49 0 0	2007-07-09
20070723	0 0 1629 0 11 0 62 2297 354 0 591 0 46 49 0 0	2007-07-23
20070813	0 0 1647 0 11 0 62 2280 353 0 594 0 43 49 0 0	2007-08-13
20070904	0 0 1648 0 11 0 62 2260 348 0 617 0 43 49 0 0	2007-09-04
20070919	0 0 1649 0 11 0 62 2260 349 0 616 0 42 49 0 0	2007-09-19
20071011	0 0 1651 0 11 0 62 2265 349 0 609 0 42 49 0 0	2007-10-11
20071109	0 0 1652 0 11 0 63 2261 348 0 612 0 42 49 0 0	2007-11-09
20071219	0 0 1663 0 11 0 59 2248 346 0 616 0 42 49 0 0	2007-12-19
20080123	0 0 1677 0 11 0 59 2243 335 0 615 0 42 49 0 0	2008-01-23
20080222	0 0 1698 0 11 0 58 2220 331 0 624 0 42 49 0 0	2008-02-22
20080418	0 0 1705 0 11 0 57 2212 333 0 626 0 42 49 0 0	2008-04-18
20080512	0 0 1715 0 11 0 57 2210 343 0 634 0 42 50 0 0	2008-05-12
20080716	0 0 1721 0 11 0 57 2200 338 0 642 0 42 50 0 0	2008-07-16
